Question Word,Query Type,<> Count,mean,median,count
What,SELECT,2,0.4163017617777778,0.485491772,45.0
What,SELECT,3,0.17403631559649121,0.278552565,57.0
What,SELECT,4,0.20085744939705882,0.252711486,68.0
What,SELECT,5,0.10176093661702128,3.5e-155,47.0
What,SELECT,6,0.07243162750000001,0.0,10.0
Who,SELECT,2,0.3405324165,0.40054511299999995,34.0
Who,SELECT,3,0.17366786609999998,0.278552565,20.0
Who,SELECT,4,0.22141190083999998,0.252711486,25.0
Who,SELECT,5,0.17692733696296298,0.21461525,27.0
Who,SELECT,6,0.284409993,0.284409993,2.0
Where,SELECT,2,0.3810915879411765,0.485491772,17.0
Where,SELECT,3,0.18410853892307694,0.278552565,13.0
Where,SELECT,4,0.19599272339999999,0.311287803,5.0
Where,SELECT,5,0.13087365613333335,0.21461525,15.0
How,SELECT,2,2.6283333333333334e-155,1.45e-231,6.0
How,SELECT,3,0.01152033584,4.85e-155,25.0
How,SELECT,4,1.3722222222222223e-155,1.22e-231,9.0
How,SELECT,5,1.0454545454545455e-79,3.76e-155,22.0
Was,ASK,3,0.021736043599999998,1.83e-78,20.0
Is,ASK,3,0.08966853391891891,3.97e-78,37.0
Did,ASK,3,0.045106209090909094,3.97e-78,11.0
Does,ASK,3,1.036923076923077e-155,0.0,13.0
